league,lat,long,team,rank,color1,color2,class
MAC Football,41.13902, -81.31366,Kent State Golden Flashes,11,#002664,#EAAB00,ncaa
MAC Football,39.51952, -84.73294,Miami (OH) RedHawks,11,#b61e2e,NA,ncaa
MAC Football,41.93396, -88.77784,NIU Huskies,11,#BA0C2F,#8A8D8F,ncaa
MAC Football,39.32102, -82.10295,Ohio Bobcats,11,#00694E,#CDA077,ncaa
MAC Football,41.65728, -83.61358,Toledo Rockets,11,#15397F,#005CB9,ncaa
MAC Football,42.28553, -85.60092,Western Michigan Broncos,11,#6C4023,#B5A167,ncaa
Mountain West Football,38.99707,-104.84352,Air Force Falcons,12,#003087,#8A8D8F,ncaa
Mountain West Football,43.60284,-116.19587,Boise State Broncos,12,#D64309,#0033A0,ncaa
Mountain West Football,40.56989,-105.08843,Colorado State Rams,12,#1E4D2B,#C8C372,ncaa
Mountain West Football,36.81440,-119.75815,Fresno State Bulldogs,12,#db0032,#002e6d,ncaa
Mountain West Football,21.29433,-157.81717,Hawaii Rainbow Warriors,12,#024731,#c8c8c8,ncaa
Mountain West Football,39.54697,-119.81761,Nevada Wolf Pack,12,#003366,#807f84,ncaa
Mountain West Football,35.06694,-106.62832,New Mexico Lobos,12,#BA0C2F,#a7a8aa,ncaa
Mountain West Football,33.86438,-118.26114,San Diego State Aztecs,12,#a6192e,#A6192E,ncaa
Mountain West Football,37.31967,-121.86829,San Jose State Spartans,12,#0055A2,#E5A823,ncaa
Mountain West Football,36.09087,-115.18332,UNLV Rebels,12,#CF0A2C,#CAC8C8,ncaa
Mountain West Football,41.75174,-111.81159,Utah State Aggies,12,#00263A,#8a8d8f,ncaa
Mountain West Football,41.31170,-105.56828,Wyoming Cowboys,12,#ffc425,#492f24,ncaa
Sun Belt Football,36.21160, -81.68550,Appalachian State Mountaineers,13,#222222,#ffcc00,ncaa
Sun Belt Football,35.84891, -90.66719,Arkansas State Red Wolves,13,#cc092f,#000000,ncaa
Sun Belt Football,33.79280, -79.01746,Coastal Carolina Chanticleers,13,#006f71,#A27752,ncaa
Sun Belt Football,32.41220, -81.78314,Georgia Southern Eagles,13,#011e41,#A3AAAE,ncaa
Sun Belt Football,33.73609, -84.38935,Georgia State Panthers,13,#0039A6,#C60C30,ncaa
Sun Belt Football,38.43530, -78.87291,James Madison Dukes,13,#450084,#CBB677,ncaa
Sun Belt Football,32.53095, -92.06603,Louisiana-Monroe Warhawks,13,#840029,#FDB913,ncaa
Sun Belt Football,30.21581, -92.04173,Louisiana Ragin' Cajuns,13,#ce181e,#0a0203,ncaa
Sun Belt Football,38.42492, -82.42102,Marshall Thundering Herd,13,#00B140,#A2AAAD,ncaa
Sun Belt Football,36.88890, -76.30489,Old Dominion Monarchs,13,#003057,#7C878E,ncaa
Sun Belt Football,30.69668, -88.19182,South Alabama Jaguars,13,#00205B,#BF0D3E,ncaa
Sun Belt Football,31.32902, -89.33122,Southern Miss Golden Eagles,13,#FFAB00,#000000,ncaa
Sun Belt Football,29.89102, -97.92555,Texas State Bobcats,13,#501214,#8d734a,ncaa
Sun Belt Football,31.79951, -85.95185,Troy Trojans,13,#8a2432,#b3b5b8,ncaa
C-USA Football,35.31049, -80.74011,Charlotte 49ers,14,#046A38,#B9975B,ncaa
C-USA Football,25.75250, -80.37789,FIU Panthers,14,#081E3F,#B6862C,ncaa
C-USA Football,26.37613, -80.10163,Florida Atlantic Owls,14,#003366,#CC0000,ncaa
C-USA Football,33.82028, -85.76634,Jacksonville State Gamecocks,14,#cc0000,#ffffff,ncaa
C-USA Football,32.53202, -92.65584,Louisiana Tech Bulldogs,14,#002F8B,#E31B23,ncaa
C-USA Football,35.85132, -86.36816,Middle Tennessee Blue Raiders,14,#0066CC,#69B3E7,ncaa
C-USA Football,33.20394, -97.15924,North Texas Mean Green,14,#00853E,#00853E,ncaa
C-USA Football,29.71629, -95.40931,Rice Owls,14,#00205B,#C1C6C8,ncaa
C-USA Football,30.71399, -95.54212,Sam Houston Bearkats,14,#f56423,#ffffff,ncaa
C-USA Football,33.52779, -86.80920,UAB Blazers,14,#006341,#CC8A00,ncaa
C-USA Football,31.77334,-106.50793,UTEP Miners,14,#FF8200,#041E42,ncaa
C-USA Football,29.41698, -98.47881,UTSA Roadrunners,14,#f15a22,#0C2340,ncaa
C-USA Football,36.98473, -86.45942,Western Kentucky Hilltoppers,14,#c60c30,#1E1E1E,ncaa
American Football,39.13122, -84.51623,Cincinnati Bearcats,15,#E00122,#E00122,ncaa
American Football,35.59646, -77.36535,East Carolina Pirates,15,#592A8A,#FDC82F,ncaa
American Football,29.72201, -95.34917,Houston Cougars,15,#C8102E,#76232F,ncaa
