"year","stage","lat1","long1","lat2","long2"
1988,1,37.32,-89.5271,34.0536909,-118.242766
1988,1,36.62267,-88.32031,40.8088861,-96.7077751
1988,1,36.144611,-86.80742,40.8088861,-96.7077751
1988,1,36.12583,-97.065,33.7489924,-84.3902644
1988,1,36.105,-115.14417,34.0536909,-118.242766
1988,1,36.076783,-79.768849,35.9131542,-79.05578
1988,1,36.061518,-94.178188,39.1014537,-84.5124602
1988,1,35.9976,-78.9422,35.9131542,-79.05578
1988,1,35.89972,-79.04389,40.7596198,-111.886797
1988,1,35.783,-78.67,40.8088861,-96.7077751
1988,1,35.30611,-80.73444,33.7489924,-84.3902644
1988,1,35.13833,-90.05056,41.6833813,-86.2500066
1988,1,35.050382,-85.30091,33.7489924,-84.3902644
1988,1,34.416389,-119.846389,39.1014537,-84.5124602
1988,1,33.9675,-118.41556,40.7596198,-111.886797
1988,1,33.78083,-84.39278,41.7670941544664,-72.6601737056397
1988,1,33.20833,-97.15389,40.7596198,-111.886797
1988,1,32.84028,-96.78056,35.9131542,-79.05578
1988,1,32.60253,-85.49301,33.7489924,-84.3902644
1988,1,32.23,-110.95,34.0536909,-118.242766
1988,1,31.777608,-106.505718,34.0536909,-118.242766
1988,1,31.5479028,-97.1059694,41.6833813,-86.2500066
1988,1,30.437842,-84.28669,34.0536909,-118.242766
1988,1,30.4142,-91.1845,41.7670941544664,-72.6601737056397
1988,1,29.72278,-95.36528,39.1014537,-84.5124602
1988,1,29.64944,-82.35111,40.7596198,-111.886797
1988,1,29.58222,-98.62139,39.1014537,-84.5124602
1988,2,41.7670941544664,-72.6601737056397,40.833989,-74.0970865
1988,2,41.6833813,-86.2500066,42.6389216,-83.2910468
1988,2,40.8088861,-96.7077751,42.6389216,-83.2910468
1988,2,40.7596198,-111.886797,47.6038321,-122.330062
1988,2,39.1014537,-84.5124602,33.5206824,-86.8024326
1988,2,35.9131542,-79.05578,40.833989,-74.0970865
1988,2,34.0536909,-118.242766,47.6038321,-122.330062
1988,2,33.7489924,-84.3902644,33.5206824,-86.8024326
1988,3,47.6038321,-122.330062,39.100105,-94.5781416
1988,3,42.6389216,-83.2910468,39.100105,-94.5781416
1988,3,40.833989,-74.0970865,39.100105,-94.5781416
1988,3,33.5206824,-86.8024326,39.100105,-94.5781416
1989,1,46.726,-117.011,43.6166163,-116.200886
1989,1,44.97694,-93.22833,36.0726355,-79.7919754
1989,1,44.045,-123.066,32.2228765,-110.9748477
1989,1,43.03611,-76.13639,32.7762719,-96.7968559
1989,1,42.64861,-73.75472,36.0726355,-79.7919754
1989,1,42.265037,-83.746768,33.7489924,-84.3902644
1989,1,42.02101,-93.634763,33.7489924,-84.3902644
1989,1,41.85361,-87.62139,43.6166163,-116.200886
1989,1,41.82361,-71.41833,36.1622767,-86.7742984
1989,1,41.698443,-86.231292,41.8239891,-71.4128343
1989,1,41.66361,-91.55444,41.8239891,-71.4128343
1989,1,41.263,-95.928,32.7762719,-96.7968559
1989,1,40.956964,-76.887093,32.7762719,-96.7968559
1989,1,40.73361,-74.17111,32.2228765,-110.9748477
1989,1,40.5756694,-105.0934028,32.7762719,-96.7968559
1989,1,40.52528,-74.44111,41.8239891,-71.4128343
1989,1,40.520212,-80.21476,43.6166163,-116.200886
1989,1,40.443777,-79.962274,39.7683331,-86.1583502
1989,1,40.343449,-74.648595,41.8239891,-71.4128343
1989,1,40.20694,-85.40611,39.7683331,-86.1583502
1989,1,40.096259,-88.235956,39.7683331,-86.1583502
1989,1,40.039993,-75.15654,36.1622767,-86.7742984
1989,1,39.64917,-79.98111,36.0726355,-79.7919754
1989,1,39.18083,-86.52222,32.2228765,-110.9748477
1989,1,39.150148,-84.471881,33.7489924,-84.3902644
1989,1,38.954306,-95.2523944,36.0726355,-79.7919754
1989,1,38.93237,-92.33303,32.7762719,-96.7968559
1989,1,38.89806,-77.02083,41.8239891,-71.4128343
1989,1,38.827,-77.31,32.2228765,-110.9748477
1989,1,38.2575,-85.75389,39.7683331,-86.1583502
1989,1,38.046,-78.507,36.1622767,-86.7742984
1989,1,37.9721889,-87.5678444,32.2228765,-110.9748477
1989,1,37.841247,-122.106409,43.6166163,-116.200886
1989,1,37.4296,-122.1605,36.0726355,-79.7919754
1989,1,37.32,-89.5271,32.2228765,-110.9748477
1989,1,36.299,-82.374,36.1622767,-86.7742984
1989,1,36.144611,-86.80742,41.8239891,-71.4128343
1989,1,36.12583,-97.065,36.1622767,-86.7742984
1989,1,36.105,-115.14417,43.6166163,-116.200886
1989,1,36.061518,-94.178188,39.7683331,-86.1583502
1989,1,35.9976,-78.9422,36.0726355,-79.7919754
1989,1,35.951167,-83.925028,36.0726355,-79.7919754
1989,1,35.89972,-79.04389,33.7489924,-84.3902644
1989,1,35.8524667,-86.3698028,36.1622767,-86.7742984
1989,1,35.783,-78.67,41.8239891,-71.4128343
1989,1,35.13833,-90.05056,43.6166163,-116.200886
1989,1,34.72778,-92.33972,39.7683331,-86.1583502
1989,1,34.68028,-82.84639,43.6166163,-116.200886
1989,1,34.070211,-118.446775,33.7489924,-84.3902644
1989,1,33.995,-81.03722,41.8239891,-71.4128343
1989,1,33.9675,-118.41556,39.7683331,-86.1583502
1989,1,33.78083,-84.39278,32.7762719,-96.7968559
1989,1,33.5812611,-101.8866361,32.7762719,-96.7968559
1989,1,33.500979,-80.846522,36.0726355,-79.7919754
1989,1,33.202939,-87.539706,33.7489924,-84.3902644
1989,1,32.5321,-92.6584,36.1622767,-86.7742984
