league,lat,long,team,color1,color2,teamID,metroID
NCAA,35.85132, -86.36816,Middle Tennessee Blue Raiders,#0066CC,#69B3E7,151,4000
NCAA,44.97653, -93.22455,Minnesota Golden Gophers,#7A0019,#FFCC33,152, 160
NCAA,33.45642, -88.79338,Mississippi State Bulldogs,#660000,#ffffff,153,3957
NCAA,38.93584, -92.33321,Missouri Tigers,#F1B82D,#F1B82D,154,2341
NCAA,38.98478, -76.50707,Navy Midshipmen,#00205B,#C5B783,155,  61
NCAA,35.80080, -78.71957,NC State Wolfpack,#CC0000,#CC0000,156, 444
NCAA,40.82070, -96.70559,Nebraska Cornhuskers,#e41c38,#fdf2d9,157,1996
NCAA,39.54697,-119.81761,Nevada Wolf Pack,#003366,#807f84,158,1090
NCAA,35.06694,-106.62832,New Mexico Lobos,#BA0C2F,#a7a8aa,159, 816
NCAA,32.27949,-106.74171,New Mexico State Aggies,#861F41,#97999B,160,3153
NCAA,41.93396, -88.77784,NIU Huskies,#BA0C2F,#8A8D8F,161,1102
NCAA,35.90695, -79.04786,North Carolina Tar Heels,#7BAFD4,#13294B,162, 444
NCAA,33.20394, -97.15924,North Texas Mean Green,#00853E,#00853E,163,1378
NCAA,42.06545, -87.69249,Northwestern Wildcats,#4E2A84,#4E2A84,164,  39
NCAA,41.69840, -86.23392,Notre Dame Fighting Irish,#0C2340,#c99700,165,1186
NCAA,39.32102, -82.10295,Ohio Bobcats,#00694E,#CDA077,166,3236
NCAA,40.00166, -83.01973,Ohio State Buckeyes,#BB0000,#666666,167, 420
NCAA,35.20585, -97.44231,Oklahoma Sooners,#841617,#FDF9D8,168, 577
NCAA,36.12564, -97.06649,Oklahoma State Cowboys,#FF7300,#FF7300,169,4603
NCAA,36.88890, -76.30489,Old Dominion Monarchs,#003057,#7C878E,170, 426
NCAA,34.36194, -89.53422,Ole Miss Rebels,#CE1126,#14213D,171,4519
NCAA,44.05826,-123.06849,Oregon Ducks,#154733,#FEE123,172,1729
NCAA,44.55955,-123.28140,Oregon State Beavers,#dc4405,#ffffff,173,1213
NCAA,40.81220, -77.85610,Penn State Nittany Lions,#041E42,#041E42,174,2263
NCAA,40.44676, -80.01576,Pittsburgh Panthers,#003594,#FFB81C,175, 308
