"metro","lat","long","country","capital","population","state"
"Douala",4.05,9.7,"Cameroon","admin",4177676,""
"Damascus",33.5131,36.2919,"Syria","primary",4017499,""
"San Antonio",29.4658,-98.5253,"United States","",2350553,"TX"
"Nāgpur",21.1539,79.0831,"India","",4812380,""
"Gaobeidian",39.3257,115.8678,"China","",3119028,""
"Peshawar",34,71.5,"Pakistan","admin",8292882,""
"Comayagüela",14.0833,-87.2167,"Honduras","",1791207,""
"Sendai",38.2683,140.8694,"Japan","admin",2370992,""
"Yuxi",24.3495,102.5432,"China","minor",1732650,""
"Jilin",43.8519,126.5481,"China","",1959385,""
"Vienna",48.2083,16.3725,"Austria","primary",2995296,""
"Āgra",27.1724,78.0131,"India","",9228654,""
"Eindhoven",51.4344,5.4842,"Netherlands","minor",3003841,""
"Medan",3.6667,98.6667,"Indonesia","admin",5657193,""
"Bhilai",21.2186,81.4314,"India","",5480116,""
"Aleppo",36.2,37.15,"Syria","admin",3553176,""
"Austin",30.3004,-97.7522,"United States","admin",2184754,"TX"
"Qinbaling",35.7278,107.64,"China","",1401482,""
"Yinchuan",38.4795,106.2254,"China","admin",2521764,""
"Laibin",23.7333,109.2333,"China","minor",1219441,""
"Barranquilla",10.9639,-74.7964,"Colombia","admin",2369771,""
"Fuxin",42.0127,121.6486,"China","",1789263,""
"Huainan",32.4831,117.0164,"China","",2407532,""
"Pingliang",35.5412,106.6819,"China","minor",1197158,""
"Juárez",31.7386,-106.487,"Mexico","minor",2226418,""
"Indianapolis",39.7771,-86.1458,"United States","admin",1960311,"IN"
"Belém",-1.4558,-48.5039,"Brazil","admin",2664779,""
"Legazpi City",13.1333,123.7333,"Philippines","admin",2246767,""
"Taizhou",28.6583,121.4221,"China","minor",5264970,""
"Renqiu",38.7094,116.1008,"China","",2641424,""
"Columbus",39.9862,-82.985,"United States","admin",1918864,"OH"
"Yan’an",36.5952,109.4863,"China","",796583,""
"Phnom Penh",11.5696,104.921,"Cambodia","primary",4404984,""
"Wenzhou",27.9991,120.6561,"China","",8536871,""
"Maputo",-25.9153,32.5764,"Mozambique","primary",3047048,""
"Bucharest",44.4,26.0833,"Romania","primary",2857951,""
"Virginia Beach",36.7335,-76.0435,"United States","",1294125,"VA"
"Al Başrah",30.515,47.81,"Iraq","admin",2933127,""
"León de los Aldama",21.1167,-101.6833,"Mexico","minor",2592692,""
"Port-au-Prince",18.5425,-72.3386,"Haiti","primary",4523432,""
"Auckland",-36.85,174.7833,"New Zealand","admin",1638560,""
"Multan",30.1978,71.4711,"Pakistan","minor",7545088,""
"Marseille",43.2964,5.37,"France","admin",2240060,""
"San Pedro Sula",15.5,-88.0333,"Honduras","admin",2250927,""
"Almaty",43.25,76.9,"Kazakhstan","admin",2427966,""
"Zhufeng",36,119.4167,"China","",2394323,""
"Rucheng",32.3852,120.5634,"China","minor",1829418,""
"Venice",45.4397,12.3319,"Italy","admin",2353029,""
"Haikou",20.02,110.32,"China","admin",3517095,""
"Quito",-0.22,-78.5125,"Ecuador","primary",3140351,""
"Glasgow",55.8611,-4.25,"United Kingdom","",2681910,""
"Mogadishu",2.0408,45.3425,"Somalia","primary",1681536,""
"Jianguang",28.1958,115.7833,"China","",1775337,""
"Mannheim",49.4878,8.4661,"Germany","minor",2740100,""
"Raleigh",35.8325,-78.6435,"United States","admin",2043567,"NC"
"Chongzuo",22.4167,107.3667,"China","minor",944128,""
"Butterworth",5.3992,100.3639,"Malaysia","",2980287,""
"Warsaw",52.23,21.0111,"Poland","primary",3110212,""
"Hamamatsu",34.7167,137.7333,"Japan","",2075580,""
"Katowice",50.25,19,"Poland","admin",3813920,""
"Turin",45.0667,7.7,"Italy","admin",2607538,""
"Minsk",53.9022,27.5618,"Belarus","primary",2829949,""
"Hiroshima",34.4,132.45,"Japan","admin",2167093,""
"Perth",-31.9522,115.8589,"Australia","admin",1820139,""
"Bamako",12.6458,-7.9922,"Mali","primary",4761868,""
"Hezhou",24.4164,111.5478,"China","minor",1545467,""
"Kumasi",6.6833,-1.6167,"Ghana","admin",4221091,""
"Vadodara",22.3,73.2,"India","",6439818,""
"Rongjiawan",29.1409,113.1087,"China","minor",3518211,""
"Pereira",4.8143,-75.6946,"Colombia","admin",2355827,""
"Tunis",36.8008,10.18,"Tunisia","primary",3522067,""
"Al Manşūrah",31.05,31.3833,"Egypt","admin",14953739,""
"San Salvador",13.6989,-89.1914,"El Salvador","primary",3625521,""
"Indore",22.7206,75.8472,"India","",5809067,""
"McAllen",26.2273,-98.2471,"United States","",1961683,"TX"
"Kananga",-5.8961,22.4167,"Congo (Kinshasa)","admin",2083205,""
