"county","state","lat","long","population"
"Sussex","Delaware",38.6606,-75.39,230249
"Smith","Texas",32.375,-95.2692,230184
"Henry","Georgia",33.453,-84.1542,229994
"Lake","Ohio",41.6963,-81.2373,229755
"Saratoga","New York",43.1074,-73.8639,229313
"Richmond","Virginia",37.5295,-77.4756,229233
"Oneida","New York",43.2417,-75.4358,229074
"Mahoning","Ohio",41.0146,-80.7763,228452
"Montgomery","Alabama",32.2203,-86.2076,226451
"Brazos","Texas",30.6608,-96.3024,226370
"Linn","Iowa",42.079,-91.599,225601
"Jefferson","Missouri",38.2611,-90.5377,224777
"Whatcom","Washington",48.8258,-121.7196,224538
"Canyon","Idaho",43.6251,-116.7093,223890
"Butte","California",39.6669,-121.6007,223344
"Hays","Texas",30.0579,-98.0312,222827
"Gaston","North Carolina",35.2944,-81.1803,222119
"Berkeley","South Carolina",33.1973,-79.9522,222103
"Jackson","Oregon",42.4322,-122.7285,218781
"Yolo","California",38.6866,-121.9016,218774
"Baldwin","Alabama",30.7276,-87.7226,218289
"Doña Ana","New Mexico",32.3526,-106.8327,217696
"Shelby","Alabama",33.2643,-86.6607,216350
"Clay","Florida",29.9831,-81.8579,215294
"Barnstable","Massachusetts",41.7244,-70.2904,213505
"Yuma","Arizona",32.7695,-113.9057,211931
"Cabarrus","North Carolina",35.3868,-80.5519,211605
"Mohave","Arizona",35.7041,-113.7579,210998
"Lackawanna","Pennsylvania",41.4367,-75.6093,210162
"Niagara","New York",43.2001,-78.7453,210145
"Champaign","Illinois",40.1401,-88.1992,210006
"Tuscaloosa","Alabama",33.2896,-87.5251,208854
"Okaloosa","Florida",30.6913,-86.5917,207430
"Washington","Pennsylvania",40.1894,-80.2483,207081
"Harrison","Mississippi",30.5122,-89.1161,206169
"York","Maine",43.4782,-70.7144,206074
"Clermont","Ohio",39.0476,-84.1517,205616
"Delaware","Ohio",40.2784,-83.0049,205454
"Elkhart","Indiana",41.5974,-85.8587,205184
"Montgomery","Tennessee",36.4969,-87.3829,204992
"Johnston","North Carolina",35.5178,-78.3657,203308
"Calcasieu","Louisiana",30.2293,-93.358,202858
"Richmond","Georgia",33.3596,-82.0736,202178
"Hall","Georgia",34.3169,-83.8197,201434
"Hawaii","Hawaii",19.5985,-155.5185,201350
"Benton","Washington",46.2398,-119.5112,200715
"Anderson","South Carolina",34.5193,-82.6378,200183
"St. Louis","Minnesota",47.6032,-92.4707,199499
"Trumbull","Ohio",41.3172,-80.7611,199144
"Onslow","North Carolina",34.7321,-77.4321,198377
"Sangamon","Illinois",39.7582,-89.6589,195963
"Racine","Wisconsin",42.7475,-88.0612,195859
"Muscogee","Georgia",32.51,-84.8771,195418
"Tippecanoe","Indiana",40.3886,-86.8941,193302
"Broome","New York",42.1602,-75.8196,192042
"Deschutes","Oregon",43.915,-121.2282,191749
